scientific_name,birdnet_id,common_name_fr,common_name_en,is_bird,peak_share,mean_share,status,weekly
Lilioceris lilii,BN07874,Criocère du lys,Lily Leaf Beetle,0,0.73,0.365,summer,0.09 0.09 0.09 0.09 0.09 0.10 0.11 0.15 0.27 0.41 0.55 0.67 0.72 0.73 0.73 0.73 0.72 0.72 0.72 0.72 0.73 0.73 0.72 0.71 0.68 0.65 0.60 0.51 0.44 0.35 0.30 0.27 0.23 0.22 0.22 0.21 0.21 0.19 0.18 0.16 0.12 0.10 0.10 0.09 0.09 0.09 0.08 0.09
Procyon lotor,BN12232,Raton laveur commun,Common Raccoon,0,0.418,0.355,resident,0.41 0.41 0.42 0.42 0.42 0.42 0.42 0.41 0.41 0.40 0.39 0.38 0.36 0.33 0.31 0.30 0.29 0.29 0.29 0.28 0.29 0.29 0.29 0.29 0.29 0.29 0.30 0.30 0.30 0.30 0.30 0.31 0.31 0.32 0.33 0.36 0.37 0.39 0.40 0.41 0.41 0.41 0.41 0.41 0.41 0.41 0.41 0.41
Prunella collaris,BN12267,Accenteur alpin,Alpine Accentor,1,0.516,0.354,mixed,0.51 0.51 0.51 0.50 0.50 0.50 0.48 0.46 0.43 0.39 0.36 0.32 0.30 0.29 0.27 0.26 0.25 0.25 0.25 0.24 0.25 0.25 0.25 0.25 0.25 0.25 0.24 0.23 0.23 0.22 0.22 0.22 0.23 0.23 0.26 0.28 0.31 0.36 0.40 0.44 0.48 0.49 0.50 0.51 0.51 0.52 0.51 0.51
Stercorarius parasiticus,BN14266,Labbe parasite,Parasitic Jaeger,1,0.484,0.35,mixed,0.23 0.22 0.21 0.21 0.20 0.20 0.20 0.21 0.24 0.25 0.29 0.33 0.41 0.42 0.44 0.44 0.44 0.44 0.42 0.40 0.34 0.31 0.31 0.32 0.31 0.32 0.37 0.37 0.39 0.42 0.44 0.45 0.46 0.47 0.48 0.48 0.48 0.48 0.47 0.46 0.43 0.37 0.35 0.28 0.25 0.25 0.24 0.23
Felis silvestris,BN05585,Chat sauvage d’Europe,European Wildcat,0,0.449,0.345,resident,0.44 0.45 0.45 0.45 0.44 0.44 0.44 0.42 0.41 0.39 0.36 0.34 0.32 0.30 0.30 0.30 0.29 0.28 0.28 0.28 0.27 0.26 0.26 0.26 0.26 0.27 0.27 0.27 0.28 0.28 0.29 0.29 0.28 0.28 0.29 0.30 0.32 0.34 0.36 0.37 0.38 0.40 0.41 0.41 0.43 0.43 0.43 0.44
Tichodroma muraria,BN15022,Tichodrome échelette,Wallcreeper,1,0.612,0.345,mixed,0.60 0.61 0.60 0.60 0.59 0.58 0.56 0.53 0.48 0.42 0.38 0.34 0.30 0.27 0.24 0.22 0.19 0.18 0.18 0.17 0.17 0.16 0.16 0.16 0.16 0.15 0.15 0.14 0.14 0.14 0.14 0.14 0.15 0.16 0.18 0.21 0.25 0.31 0.36 0.43 0.49 0.54 0.58 0.60 0.60 0.61 0.61 0.60
Rhinolophus ferrumequinum,BN13222,Grand rhinolophe,Greater Horseshoe Bat,0,0.511,0.342,mixed,0.50 0.51 0.51 0.51 0.50 0.50 0.48 0.48 0.47 0.45 0.43 0.39 0.36 0.32 0.28 0.22 0.19 0.17 0.16 0.15 0.14 0.14 0.15 0.16 0.17 0.18 0.18 0.20 0.22 0.23 0.25 0.29 0.33 0.35 0.36 0.36 0.38 0.38 0.40 0.42 0.41 0.41 0.42 0.43 0.45 0.47 0.48 0.49
Crocidura russula,BN03955,Crocidure Musette,Greater White-toothed Shrew,0,0.416,0.341,resident,0.41 0.41 0.41 0.41 0.41 0.40 0.40 0.38 0.37 0.35 0.33 0.29 0.28 0.28 0.26 0.26 0.25 0.25 0.26 0.25 0.24 0.24 0.24 0.25 0.26 0.29 0.31 0.33 0.34 0.35 0.34 0.34 0.34 0.34 0.35 0.35 0.36 0.38 0.39 0.40 0.41 0.41 0.41 0.42 0.41 0.41 0.41 0.41
Microcarbo pygmaeus,BN08838,Cormoran pygmée,Pygmy Cormorant,1,0.474,0.34,mixed,0.47 0.47 0.47 0.46 0.45 0.43 0.42 0.40 0.38 0.36 0.33 0.30 0.28 0.26 0.23 0.21 0.21 0.20 0.20 0.19 0.19 0.20 0.21 0.21 0.22 0.24 0.27 0.29 0.30 0.31 0.31 0.32 0.34 0.35 0.36 0.36 0.37 0.37 0.37 0.40 0.41 0.43 0.44 0.45 0.46 0.46 0.46 0.46
Emberiza hortulana,BN05057,Bruant ortolan,Ortolan Bunting,1,0.839,0.339,summer,0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.01 0.01 0.06 0.16 0.31 0.51 0.68 0.77 0.83 0.84 0.81 0.79 0.76 0.73 0.69 0.63 0.58 0.56 0.56 0.54 0.53 0.58 0.64 0.67 0.65 0.62 0.56 0.45 0.35 0.23 0.11 0.04 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00
